system	title	rom
GBA	Dr. Seuss' Green Eggs and Ham	Dr. Seuss' Green Eggs and Ham (U).gba
GBA	Dr. Seuss' The Cat in the Hat - Super Stoop	Dr. Seuss' The Cat in the Hat - Super Stoop (U) [!].gba
GBA	Dr. Sudoku	Dr. Sudoku (U).gba
GBA	Dragon Ball - Advanced Adventure	Dragon Ball - Advanced Adventure (U).gba
GBA	Dragon Ball GT - Transformation	Dragon Ball GT - Transformation (U) [!].gba
GBA	Dragon Ball GT - Volume 1	Dragon Ball GT - Volume 1 (U).gba
GBA	Dragon Ball Z - Buu's Fury	Dragon Ball Z - Buu's Fury (U) [!].gba
GBA	Dragon Ball Z - Supersonic Warriors	Dragon Ball Z - Supersonic Warriors (U) [!].gba
GBA	Dragon Ball Z - Taiketsu	Dragon Ball Z - Taiketsu (U) [!].gba
GBA	Dragon Ball Z - The Collectible Card Game	Dragon Ball Z - The Collectible Card Game (U).gba
GBA	Dragon Ball Z - The Legacy of Goku	Dragon Ball Z - The Legacy of Goku (U) [!].gba
GBA	Dragon Ball Z - The Legacy of Goku II	Dragon Ball Z - The Legacy of Goku II (U) [!].gba
GBA	Dragon Quest Monsters - Caravan Heart	Dragon Quest Monsters - Caravan Heart (J) [T+Eng1.0_KaioShin].gba
GBA	Dragon Tales - Dragon Adventures	Dragon Tales - Dragon Adventures (U).gba
GBA	Dragon's Rock	Dragon's Rock (E) (M5).gba
GBA	Drake and Josh	Drake and Josh (U) (M2) [!].gba
GBA	Drill Dozer	Drill Dozer (U) [!].gba
GBA	Driv3r	Driv3r (U) [!].gba
GBA	Driven	Driven (U) (M5) [!].gba
GBA	Driver 2 Advance	Driver 2 Advance (U) [!].gba
GBA	Droopy's Tennis Open	Droopy's Tennis Open (E) (M6).gba
GBA	Dual Blades	Dual Blades (U).gba
GBA	Duel Masters - Kaijudo Showdown	Duel Masters - Kaijudo Showdown (U) [!].gba
GBA	Duel Masters - Sempai Legends	Duel Masters - Sempai Legends (U) [!].gba
GBA	Duel Masters - Shadow of the Code	Duel Masters - Shadow of the Code (U) [!].gba
GBA	Duke Nukem Advance	Duke Nukem Advance (U).gba
GBA	Dungeons and Dragons - Eye of the Beholder	Dungeons and Dragons - Eye of the Beholder (U) [!].gba
GBA	Dynasty Warriors Advance	Dynasty Warriors Advance (U) [!].gba
GBA	E.T. The Extra-Terrestrial	E.T. The Extra-Terrestrial (U).gba
GBA	Earthworm Jim	Earthworm Jim (U) [!].gba
GBA	Earthworm Jim 2	Earthworm Jim 2 (U).gba
GBA	Ecks vs. Sever	Ecks vs. Sever (U) (M5).gba
GBA	Ed, Edd n Eddy - Jawbreakers!	Ed, Edd n Eddy - Jawbreakers! (U) (V1.0) [!].gba
GBA	Ed, Edd n Eddy - The Mis-Edventures	Ed, Edd n Eddy - The Mis-Edventures (U) (M2) [!].gba
GBA	Egg Mania	Egg Mania (U) (M3) [!].gba
GBA	Elf - The Movie	Elf - The Movie (U) (M5).gba
GBA	Elf Bowling 1 & 2	Elf Bowling 1 & 2 (U).gba
GBA	Enchanted - Once Upon Andalasia	Enchanted - Once Upon Andalasia (U) (M2).gba
GBA	Eragon	Eragon (U) [!].gba
GBA	ESPN Final Round Golf 2002	ESPN Final Round Golf 2002 (U) [!].gba
GBA	ESPN Great Outdoor Games - Bass 2002	ESPN Great Outdoor Games - Bass 2002 (U) [!].gba
GBA	ESPN International Winter Sports 2002	ESPN International Winter Sports 2002 (U) [!].gba
GBA	ESPN Winter X-Games Snowboarding 2002	ESPN Winter X-Games Snowboarding 2002 (U) [!].gba
GBA	ESPN X-Games Skateboarding	ESPN X-Games Skateboarding (U) [!].gba
GBA	European Super League	European Super League (E) (M5).gba
GBA	Evergirl	Evergirl (U).gba
GBA	Extreme Ghostbusters - Code Ecto-1	Extreme Ghostbusters - Code Ecto-1 (U).gba
GBA	F-14 Tomcat	F-14 Tomcat (U) [!].gba
GBA	F-Zero - Climax	F-Zero - Climax (J) [T+Eng0.1_Heian].gba
GBA	F-Zero - Maximum Velocity	F-Zero - Maximum Velocity (UE) [!].gba
GBA	F-Zero GP Legend	F-Zero GP Legend (U).gba
GBA	F1 2002	F1 2002 (U) [!].gba
GBA	F24 - Stealth Fighter	F24 - Stealth Fighter (U) [!].gba
GBA	Fairly Odd Parents!, The - Breakin' da Rules	Fairly Odd Parents!, The - Breakin' da Rules (U) [!].gba
GBA	Fairly Odd Parents!, The - Clash With The Anti-World	Fairly Odd Parents!, The - Clash With The Anti-World (U) [!].gba
GBA	Fairly Odd Parents!, The - Shadow Showdown	Fairly Odd Parents!, The - Shadow Showdown (U).gba
GBA	Fairly Odd Parents!, The - Volume 1	Fairly Odd Parents!, The - Volume 1 (U).gba
GBA	Fairly Odd Parents!, The - Volume 2	Fairly Odd Parents!, The - Volume 2 (U).gba
GBA	Family Feud	Family Feud (U).gba
GBA	Fantastic 4	Fantastic 4 (U).gba
GBA	Fantastic 4 - Flame On	Fantastic 4 - Flame On (U).gba
GBA	Fear Factor Unleashed	Fear Factor Unleashed (U).gba
GBA	FIFA 06	FIFA 06 (UE) (M6).gba
GBA	FIFA 07	FIFA 07 (UE) (M4) [!].gba
GBA	FIFA 2003	FIFA 2003 (UE) (M5) [!].gba
GBA	FIFA 2005	FIFA 2005 (UE) (M6).gba
GBA	FIFA Football 2004	FIFA 2004 (UE) (M6).gba
GBA	FIFA World Cup Germany 2006	FIFA World Cup Germany 2006 (U) (M5) [!].gba
GBA	Fight Box	Fight Box (E).gba
GBA	FILA Decathlon	FILA Decathlon (E) (M6).gba
GBA	Final Fantasy I & II - Dawn of Souls	Final Fantasy I & II - Dawn of Souls (U) [!].gba
GBA	Final Fantasy IV Advance	Final Fantasy IV Advance (U) [!].gba
GBA	Final Fantasy Tactics Advance	Final Fantasy Tactics Advance (U) [!].gba
GBA	Final Fantasy V Advance	Final Fantasy V Advance (U) [!].gba
GBA	Final Fantasy VI Advance	Final Fantasy VI Advance (U) [!].gba
GBA	Final Fight One	Final Fight One (U).gba
GBA	Fire Emblem	Fire Emblem (U) [!].gba
GBA	Fire Emblem - Fuuin no Tsurugi	Fire Emblem - Fuuin no Tsurugi (J) [T-Eng10.2_Dark Twilkitri].gba
GBA	Fire Emblem - The Sacred Stones	Fire Emblem - The Sacred Stones (U) [!].gba
GBA	Fire Pro Wrestling 2	Fire Pro Wrestling 2 (U).gba
GBA	Fire Pro Wrestling A	Fire Pro Wrestling A (U) [!].gba
GBA	Flintstones, The - Big Trouble in Bedrock	Flintstones, The - Big Trouble in Bedrock (U) [!].gba
GBA	Flushed Away	Flushed Away (U) [!].gba
GBA	Ford Racing 3	Ford Racing 3 (U).gba
GBA	Fortress	Fortress (U) [!].gba
GBA	Foster's Home for Imaginary Friends	Foster's Home for Imaginary Friends (U).gba
GBA	Franklin the Turtle	Franklin the Turtle (U) (M9).gba
GBA	Franklin's Great Adventures	Franklin's Great Adventures (U) (M3).gba
GBA	Freekstyle	Freekstyle (U) [!].gba
GBA	Frogger Advance - The Great Quest	Frogger Advance - The Great Quest (U) [!].gba
GBA	Frogger's Adventures - Temple of The Frog	Frogger's Adventures - Temple of The Frog (U) (M5) [!].gba
GBA	Frogger's Adventures 2 - The Lost Wand	Frogger's Adventures 2 - The Lost Wand (U) (M2) [!].gba
GBA	Frogger's Journey - The Forgotten Relic	Frogger's Journey - The Forgotten Relic (U) [!].gba
GBA	Gadget Racers	Gadget Racers (U) [!].gba
GBA	Galidor - Defenders of the Outer Dimension	Galidor - Defenders of the Outer Dimension (U) (M8) [!].gba
GBA	Game & Watch Gallery 4	Game & Watch Gallery 4 (U) [!].gba
GBA	Games Explosion	Games Explosion (U).gba
GBA	Garfield - The Search for Pooky	Garfield - The Search for Pooky (U) (M5).gba
GBA	Garfield and His Nine Lives	Garfield and His Nine Lives (U) (M3).gba
GBA	Gauntlet - Dark Legacy	Gauntlet - Dark Legacy (U) [!].gba
GBA	GBA Video - Proud Family, The Vol. 1	GBA Video - Proud Family, The Vol. 1 (U).gba
GBA	Gekido Advance - Kintaro's Revenge	Gekido Advance - Kintaro's Revenge (U).gba
GBA	Gem Smashers	Gem Smashers (U).gba
GBA	Ghost Rider	Ghost Rider (UE) (M6) [!].gba
GBA	Go! Go! Beckham! Adventure On Soccer Island	Go! Go! Beckham! Adventure On Soccer Island (E) (M5).gba
GBA	Godzilla - Domination!	Godzilla - Domination! (U).gba
GBA	Golden Nugget Casino	Golden Nugget Casino (U) [!].gba
GBA	Golden Sun	Golden Sun (UE) [!].gba
GBA	Golden Sun - The Lost Age	Golden Sun - The Lost Age (UE) [!].gba
GBA	Gradius Galaxies	Gradius Galaxies (U) [!].gba
GBA	Grand Theft Auto Advance	Grand Theft Auto Advance (U).gba
GBA	Greg Hastings' Tournament Paintball Max'd	Greg Hastings' Tournament Paintball Max'd (U).gba
GBA	Gremlins - Stripe vs. Gizmo	Gremlins - Stripe vs. Gizmo (U).gba
GBA	Grim Adventures of Billy and Mandy, The	Grim Adventures of Billy and Mandy, The (U).gba
GBA	GT Advance 2 - Rally Racing	GT Advance 2 - Rally Racing (U) [!].gba
GBA	GT Advance 3 - Pro Concept Racing	GT Advance 3 - Pro Concept Racing (U) [!].gba
GBA	GT Championship Racing	GT Championship Racing (U) [!].gba
GBA	GT Racers	GT Racers (E) (M5).gba
GBA	Guilty Gear X - Advance Edition	Guilty Gear X - Advance Edition (U) [!].gba
GBA	Gumby vs. the Astrobots	Gumby vs. the Astrobots (U).gba
GBA	Gunstar Super Heroes	Gunstar Super Heroes (U) [!].gba
GBA	Hamtaro - Ham-Ham Games	Hamtaro - Ham-Ham Games (E) (M5).gba
GBA	Hamtaro - Ham-Ham Heartbreak	Hamtaro - Ham-Ham Heartbreak (U).gba
GBA	Hamtaro - Rainbow Rescue	Hamtaro - Rainbow Rescue (E) (M5).gba
GBA	Happy Feet	Happy Feet (U) (M2).gba
GBA	Hardcore Pinball	Hardcore Pinball (U) [!].gba
GBA	Hardcore Pool	Hardcore Pool (E) (M4).gba
GBA	Harlem Globetrotters - World Tour	Harlem Globetrotters - World Tour (U).gba
GBA	Harry Potter - Quidditch World Cup	Harry Potter - Quidditch World Cup (UE) (M8) [!].gba
GBA	Harry Potter and The Chamber of Secrets	Harry Potter and The Chamber of Secrets (UE) (M12) [!].gba
GBA	Harry Potter and The Goblet of Fire	Harry Potter and The Goblet of Fire (UE) (M8).gba
GBA	Harry Potter and The Order of The Phoenix	Harry Potter and The Order of The Phoenix (UE) (M7) [!].gba
GBA	Harry Potter and The Prisoner of Azkaban	Harry Potter and The Prisoner of Azkaban (UE) (M8) [!].gba
GBA	Harry Potter and The Sorcerer's Stone	Harry Potter and The Sorcerer's Stone (UE) (M12) [!].gba
GBA	Harry Potter Collection - The Philosopher's Stone & The Chamber of Secrets & The Prisoner of Azkaban	Harry Potter Collection - The Philosopher's Stone & The Chamber of Secrets & The Prisoner of Azkaban (E) (M12).gba
GBA	Harvest Moon - Friends of Mineral Town	Harvest Moon - Friends of Mineral Town (U) [!].gba
GBA	Harvest Moon - More Friends of Mineral Town	Harvest Moon - More Friends of Mineral Town (U).gba
GBA	Hello Kitty - Happy Party Pals	Hello Kitty - Happy Party Pals (U) [!].gba
GBA	Hey Arnold! - The Movie	Hey Arnold! - The Movie (U) [!].gba
GBA	Hi Hi Puffy AmiYumi - Kaznapped!	Hi Hi Puffy AmiYumi - Kaznapped! (U).gba
GBA	High Heat Major League Baseball 2002	High Heat Major League Baseball 2002 (U) [!].gba
GBA	High Heat Major League Baseball 2003	High Heat Major League Baseball 2003 (U) [!].gba
GBA	High School Musical - Livin' the Dream	High School Musical - Livin' the Dream (U).gba
GBA	Hobbit, The	Hobbit, The (U) [!].gba
GBA	Horsez	Horsez (U) [!].gba
GBA	Hot Potato!	Hot Potato! (U) [!].gba
GBA	Hot Wheels - All Out	Hot Wheels - All Out (U).gba
GBA	Hot Wheels - Burnin' Rubber	Hot Wheels - Burnin' Rubber (U) [!].gba
GBA	Hot Wheels - Stunt Track Challenge	Hot Wheels - Stunt Track Challenge (U) [!].gba
GBA	Hot Wheels - Velocity X	Hot Wheels - Velocity X (U).gba
GBA	Hot Wheels - World Race	Hot Wheels - World Race (U).gba
GBA	Hugo - The Evil Mirror Advance	Hugo - The Evil Mirror Advance (U) (M3).gba
GBA	I Spy Challenger	I Spy Challenger (U).gba
GBA	Ice Age	Ice Age (U) (M3).gba
GBA	Ice Age 2 - The Meltdown	Ice Age 2 - The Meltdown (U).gba
GBA	Ice Nine	Ice Nine (U) (M5).gba
GBA	Incredible Hulk, The	Incredible Hulk, The (U) [!].gba
GBA	Incredibles, The	Incredibles, The (U) [!].gba
GBA	Incredibles, The - Rise of the Underminer	Incredibles, The - Rise of the Underminer (U) [!].gba
GBA	Inspector Gadget - Advance Mission	Inspector Gadget - Advance Mission (U) (M6) [!].gba
GBA	Inspector Gadget Racing	Inspector Gadget Racing (E) (M6).gba
GBA	International Karate Advanced	International Karate Advanced (E).gba
GBA	International Karate Plus	International Karate Plus (U).gba
GBA	International Superstar Soccer	International Superstar Soccer (E) [!].gba
GBA	International Superstar Soccer Advance	International Superstar Soccer Advance (E).gba
GBA	Invader	Invader (E).gba
GBA	Invincible Iron Man, The	Invincible Iron Man, The (U).gba
GBA	Iridion 3D	Iridion 3D (U) [!].gba
GBA	Iridion II	Iridion II (U) [!].gba
GBA	It's Mr. Pants	It's Mr. Pants (U) [!].gba
GBA	Jackie Chan Adventures - Legend of The Dark Hand	Jackie Chan Adventures - Legend of The Dark Hand (U) [!].gba
GBA	James Pond - Codename Robocod	James Pond - Codename Robocod (U) (M4).gba
GBA	Jazz Jackrabbit	Jazz Jackrabbit (U) [!].gba
GBA	Jet Grind Radio	Jet Grind Radio (U).gba
GBA	Jimmy Neutron - Boy Genius	Jimmy Neutron - Boy Genius (U) [!].gba
GBA	Jonny Moseley Mad Trix	Jonny Moseley Mad Trix (UE) (M5) [!].gba
GBA	Juka and the Monophonic Menace	Juka and the Monophonic Menace (U) (M3).gba
GBA	Jurassic Park III - Island Attack	Jurassic Park III - Island Attack (U) [!].gba
GBA	Jurassic Park III - Park Builder	Jurassic Park III - Park Builder (U) [!].gba
GBA	Jurassic Park III - The DNA Factor	Jurassic Park III - The DNA Factor (E) (M5) [!].gba
GBA	Justice League - Injustice for All	Justice League - Injustice for All (U) [!].gba
GBA	Justice League Chronicles	Justice League Chronicles (U) [!].gba
GBA	Justice League Heroes - The Flash	Justice League Heroes - The Flash (U).gba
GBA	Kao the Kangaroo	Kao the Kangaroo (U) (M6).gba
GBA	Karnaaj Rally	Karnaaj Rally (U) [!].gba
GBA	Kelly Slater's Pro Surfer	Kelly Slater's Pro Surfer (U) [!].gba
GBA	KerPlunk!, Toss Across, and TipIt	KerPlunk!, Toss Across, and TipIt (U).gba
GBA	Kid Paddle	Kid Paddle (E) (M2).gba
GBA	Kid's Cards	Kid's Cards (U).gba
GBA	Kien	Kien (U).gba
GBA	Kill Switch	Kill Switch (U) [!].gba
GBA	Killer 3D Pool	Killer 3D Pool (U) [!].gba
GBA	King Kong - The Official Game of the Movie	King Kong - The Official Game of the Movie (E) (M6).gba
GBA	King of Fighters EX, The - NeoBlood	King of Fighters EX, The - NeoBlood (U) (V1.0) [!].gba
GBA	King of Fighters EX2, The - Howling Blood	King of Fighters EX2, The - Howling Blood (U) [!].gba
GBA	Kingdom Hearts - Chain of Memories	Kingdom Hearts - Chain of Memories (U).gba
GBA	Kirby & The Amazing Mirror	Kirby & The Amazing Mirror (U) [!].gba
GBA	Kirby - Nightmare in Dreamland	Kirby - Nightmare in Dreamland (U) [!].gba
GBA	Klonoa - Empire of Dreams	Klonoa - Empire of Dreams (U) [!].gba
GBA	Klonoa 2 - Dream Champ Tournament	Klonoa 2 - Dream Champ Tournament (U).gba
GBA	Knights' Kingdom	Knights' Kingdom (U).gba
GBA	Koala Brothers, The - Outback Adventures	Koala Brothers, The - Outback Adventures (U) (M8).gba
GBA	Konami Collectors Series - Arcade Classics	Konami Collectors Series - Arcade Classics (U) [!].gba
GBA	Kong - King of Atlantis	Kong - King of Atlantis (U).gba
GBA	Kong - The 8th Wonder of the World	Kong - The 8th Wonder of the World (U) (M3) [!].gba
GBA	Kong - The Animated Series	Kong - The Animated Series (U) (M6).gba
GBA	Krazy Racers	Krazy Racers (U) [!].gba
GBA	Kuru Kuru Kururin	Kuru Kuru Kururin (E) [!].gba
GBA	Kururin Paradise	Kururin Paradise (J) [T+Eng0.10].gba
GBA	Lady Sia	Lady Sia (U) (M6) [!].gba
GBA	Land Before Time, The	Land Before Time, The (E) (M5) [!].gba
GBA	Land Before Time, The - Into the Mysterious Beyond	Land Before Time, The - Into the Mysterious Beyond (U) (M3).gba
GBA	Lara Croft Tomb Raider - Legend	Lara Croft Tomb Raider - Legend (U) (M5) [!].gba
GBA	Legend of Spyro, The - A New Beginning	Legend of Spyro, The - A New Beginning (U) [!].gba
GBA	Legend of Spyro, The - The Eternal Night	Legend of Spyro, The - The Eternal Night (U) (M2).gba
GBA	Legend of Zelda, The - A Link To The Past with Four Swords	Legend of Zelda, The - A Link To The Past with Four Swords (U) [!].gba
GBA	Legend of Zelda, The - The Minish Cap	Legend of Zelda, The - The Minish Cap (U) [!].gba
GBA	Legends of Wrestling 2	Legends of Wrestling 2 (E).gba
GBA	LEGO 2-in-1 - Bionicle & Knights' Kingdom	LEGO 2-in-1 - Bionicle & Knights' Kingdom (E) (M4).gba
GBA	LEGO Bionicle	LEGO Bionicle (U) (M2) [!].gba
GBA	LEGO Bionicle - Matoran Adventures	LEGO Bionicle - Matoran Adventures (UE) (M8) [!].gba
GBA	LEGO Bionicle - The Game	LEGO Bionicle - The Game (U) (M2) [!].gba
GBA	LEGO Drome Racers	LEGO Drome Racers (U) [!].gba
GBA	LEGO Football Mania	LEGO Football Mania (UE) (M8) [!].gba
GBA	LEGO Island - Xtreme Stunts	LEGO Island - Xtreme Stunts (UE) (M8) [!].gba
GBA	LEGO Island 2 - The Brickster's Revenge	LEGO Island 2 - The Brickster's Revenge (U) (M2) [!].gba
GBA	LEGO Racers 2	LEGO Racers 2 (U) (M2) [!].gba
GBA	LEGO Star Wars - The Video Game	LEGO Star Wars - The Video Game (UE) (M7) [!].gba
GBA	LEGO Star Wars II - The Original Trilogy	LEGO Star Wars II - The Original Trilogy (U) [!].gba
GBA	Lemony Snicket's A Series of Unfortunate Events	Lemony Snicket's A Series of Unfortunate Events (U) [!].gba
GBA	Let's Ride! - Dreamer	Let's Ride! - Dreamer (U).gba
GBA	Let's Ride! - Friends Forever	Let's Ride! - Friends Forever (U).gba
GBA	Let's Ride! - Sunshine Stables	Let's Ride! - Sunshine Stables (U) [!].gba
GBA	Little League Baseball 2002	Little League Baseball 2002 (U) (M2).gba
GBA	Lizzie McGuire - On the Go!	Lizzie McGuire - On The Go! (U).gba
GBA	Lizzie McGuire 2 - Lizzie Diaries	Lizzie McGuire 2 - Lizzie Diaries (U) (M2).gba
GBA	Lizzie McGuire 3 - Homecoming Havoc	Lizzie McGuire 3 - Homecoming Havoc (U) [!].gba
GBA	Looney Tunes - Back in Action	Looney Tunes - Back in Action (U) (M5) [!].gba
GBA	Lord of the Rings, The - The Fellowship of the Ring	Lord of the Rings, The - The Fellowship of the Ring (U) [!].gba
GBA	Lord of the Rings, The - The Return of the King	Lord of the Rings, The - The Return of the King (UE) (M5) [!].gba
GBA	Lord of the Rings, The - The Third Age	Lord of the Rings, The - The Third Age (UE) (M5) [!].gba
GBA	Lord of the Rings, The - The Two Towers	Lord of the Rings, The - The Two Towers (UE) (M6) [!].gba
GBA	Lost Vikings, The	Lost Vikings, The (U).gba
GBA	Lucky Luke - Wanted!	Lucky Luke - Wanted! (E) (M6).gba
GBA	Lufia - The Ruins of Lore	Lufia - The Ruins of Lore (U) [!].gba
GBA	Lunar Legend	Lunar Legend (U) [!].gba
GBA	M&M's - Blast!	M&M's - Blast! (U) [!].gba
GBA	M&M's - Break' Em	M&M's - Break' Em (V1.1) (U).gba
GBA	Madagascar	Madagascar (U).gba
GBA	Madagascar - Operation Penguin	Madagascar - Operation Penguin (U) [!].gba
GBA	Madden NFL 06	Madden NFL 06 (U) [!].gba
GBA	Madden NFL 07	Madden NFL 07 (U) [!].gba
GBA	Madden NFL 2002	Madden NFL 2002 (U).gba
GBA	Madden NFL 2003	Madden NFL 2003 (U).gba
GBA	Madden NFL 2004	Madden NFL 2004 (U) [!].gba
GBA	Madden NFL 2005	Madden NFL 2005 (U).gba
GBA	Major League Baseball 2007	Major League Baseball 2007 (U).gba
GBA	Manic Miner	Manic Miner (E) (M5) [!].gba
GBA	March of the Penguins	March of the Penguins (U) [!].gba
GBA	Marie, Elie & Anis No Atelier - Soyokaze Kara No Dengon	Marie, Elie & Anis No Atelier - Soyokaze Kara No Dengon (J).gba
GBA	Mario & Luigi - Superstar Saga	Mario & Luigi - Superstar Saga (U) [!].gba
GBA	Mario Golf - Advance Tour	Mario Golf - Advance Tour (U).gba
GBA	Mario Kart Super Circuit	Mario Kart Super Circuit (U) [!].gba
GBA	Mario Party Advance	Mario Party Advance (U).gba
GBA	Mario Pinball Land	Mario Pinball Land (U) [!].gba
GBA	Mario Power Tennis	Mario Power Tennis (E) (M5) [!].gba
GBA	Mario Tennis Advance - Power Tour	Mario Tennis Advance - Power Tour (UA) (M5) [!].gba
GBA	Mario vs. Donkey Kong	Mario vs. Donkey Kong (U) [!].gba
GBA	Marvel Ultimate Alliance	Marvel Ultimate Alliance (U) [!].gba
GBA	Mary-Kate and Ashley - Girls Night Out	Mary-Kate and Ashley - Girls Night Out (U).gba
GBA	Mary-Kate and Ashley - Sweet 16 - Licensed to Drive	Mary-Kate and Ashley - Sweet 16 - Licensed to Drive (U).gba
GBA	Masters of the Universe - He-man Power of Grayskull	Masters of the Universe - He-man Power of Grayskull (U).gba
GBA	Mat Hoffman's Pro BMX	Mat Hoffman's Pro BMX (U) [!].gba
GBA	Mat Hoffman's Pro BMX 2	Mat Hoffman's Pro BMX 2 (U) [!].gba
GBA	Matchbox Cross Town Heroes	Matchbox Cross Town Heroes (U).gba
GBA	Matchbox Missions - Emergency Response & Air, Land and Sea Rescue	Matchbox Missions - Emergency Response & Air, Land and Sea Rescue (U) [!].gba
GBA	Math Patrol - The Kleptoid Threat	Math Patrol - The Kleptoid Threat (U).gba
GBA	Max Payne	Max Payne (U) [!].gba
GBA	Maya the Bee - Sweet Gold	Maya the Bee - Sweet Gold (E) (M5).gba
GBA	Maya The Bee - The Great Adventure	Maya The Bee - The Great Adventure (E) (M5).gba
GBA	Mazes of Fate	Mazes of Fate (U) (M5) [!].gba
GBA	Mech Platoon	Mech Platoon (U) [!].gba
GBA	Medabots	Medabots - Metabee Version (U).gba
GBA	Medabots AX	Medabots AX - Rokusho Version (U) [!].gba
GBA	Medal of Honor - Infiltrator	Medal of Honor - Infiltrator (UE) (M3) [!].gba
GBA	Medal of Honor - Underground	Medal of Honor - Underground (U) [!].gba
GBA	Meet the Robinsons	Meet the Robinsons (U) [!].gba
GBA	Megaman & Bass	Megaman & Bass (U) [!].gba
GBA	Megaman Battle Chip Challenge	Megaman Battle Chip Challenge (U) [!].gba
GBA	Megaman Battle Network	Megaman Battle Network (U) [!].gba
GBA	Megaman Battle Network 2	Megaman Battle Network 2 (U) [!].gba
GBA	Megaman Battle Network 3	Megaman Battle Network 3 - Blue Version (U) [!].gba
GBA	Megaman Battle Network 4	Megaman Battle Network 4 - Blue Moon (U) [!].gba
GBA	Megaman Battle Network 5	Megaman Battle Network 5 - Team Colonel (U) [!].gba
GBA	Megaman Battle Network 6	Megaman Battle Network 6 - Cybeast Falzar (U) [!].gba
GBA	Megaman Zero	Megaman Zero (U) [!].gba
GBA	Megaman Zero 2	Megaman Zero 2 (U) [!].gba
GBA	Megaman Zero 3	Megaman Zero 3 (U) [!].gba
GBA	Megaman Zero 4	Megaman Zero 4 (U).gba
GBA	Men in Black - The Series	Men in Black - The Series (U) [!].gba
GBA	Metal Slug Advance	Metal Slug Advance (U) [!].gba
